store_id,store_name,neighborhood,weight_tax
1,Loja A,Vila Isabel,12.5
2,Loja B,Moema,10.0
3,Loja C,Bangu,15.0
4,Loja D,Jardim Botanico,8.0
5,Loja E,Jabaquara,11.5
6,Loja F,Analia Franco,9.0
7,Loja G,Catete,13.0
8,Loja H,Leblon,7.5
9,Loja I,Santana,12.0
10,Loja J,Urca,10.5
11,Loja K,Pinheiros,11.0
12,Loja L,Perdizes,9.5
13,Loja M,Gloria,13.5
14,Loja N,Grajau,14.0
15,Loja O,Vila Madalena,8.5
16,Loja P,Pompeia,12.5
17,Loja Q,Bela Vista,7.0
18,Loja R,Sao Conrado,10.0
19,Loja S,Laranjeiras,15.5
20,Loja T,Santa Teresa,14.0
21,Loja U,Jardins,9.5
22,Loja V,Itaim Bibi,8.0
23,Loja W,Liberdade,11.0
24,Loja X,Barra da Tijuca,12.0
25,Loja Y,Centro (SP),13.0
26,Loja Z,Centro,10.5
27,Loja AA,Freguesia do O,14.5
28,Loja AB,Lapa,13.5
29,Loja AC,Copacabana,12.0
30,Loja AD,Brooklin,11.5
31,Loja AE,Tatuape,9.0
32,Loja AF,Cidade Jardim,10.0
33,Loja AG,Recreio dos Bandeirantes,12.5
34,Loja AH,Morumbi,13.0
35,Loja AI,Tijuca,10.0
36,Loja AJ,Ipanema,8.5
37,Loja AK,Butanta,9.5
38,Loja AL,Vila Mariana,11.0
39,Loja AM,Higienopolis,12.5
40,Loja AN,Santo Amaro,14.0
41,Loja AO,Chacara Flora,13.0
42,Loja AP,Botafogo,10.5
43,Loja AQ,Flamengo,9.0
44,Loja AR,Madureira,11.5
